ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YBR298C,MAL31,68262,614,0,,0.2
YBR298C-A,,8407,73,,,
YBR299W,MAL32,68142,584,3386,0.016504,0.4
YBR300C,,18881,165,0,,0.2
YBR301W,DAN3,12847,120,0,,0.5
YBR302C,COS2,45165,379,5896,,1.7
YCL001W,RER1,22270,188,2708,0.000891,4.3
YCL001W-A,,17817,153,0,,0.3
YCL001W-B,,9572,84,,,
YCL002C,,29018,251,0,,0.7
YCL004W,PGS1,59370,521,0,,0.4
YCL005W,LDB16,29023,256,125,0.016504,0.6
YCL005W-A,VMA9,8381,73,,,
YCL007C,,15469,130,0,,1.2
YCL008C,STP22,43330,385,1146,0.015068,0.6
YCL009C,ILV6,33986,309,7567,0.006601,2.4
YCL010C,SGF29,29381,259,1404,0.016504,0.9
YCL011C,GBP2,48728,427,1247,0.011363,2.6
YCL012C,,15588,134,,,
YCL014W,BUD3,184717,1636,1428,0.086643,0.4
YCL016C,DCC1,44073,380,1391,0.011002,0.3
YCL017C,NFS1,54467,497,2732,0.011552,1.9
YCL018W,LEU2,38952,364,0,,2.5
YCL021W-A,,14614,125,,,
YCL022C,,18906,171,0,,0.4
YCL023C,,13531,115,0,,0.2
YCL024W,KCC4,116473,1037,452,0.031507,0.2
YCL025C,AGP1,69671,633,12347,0.036481,1.3
YCL026C-A,FRM2,21232,193,1352,0.000891,0.4
YCL026C-B,,20994,193,,,
YCL027W,FUS1,57779,512,1732,0.000891,0.5
YCL028W,RNQ1,42580,405,2114,0.013591,0.7
YCL029C,BIK1,51092,440,252,0.009002,0.5
YCL030C,HIS4,87721,799,9985,0.000891,5.2
YCL031C,RRP7,34470,297,3231,0.006863,2.4
YCL032W,STE50,38970,346,1402,0.017773,0.5
YCL033C,,19279,168,672,0,1.4
YCL034W,LSB5,39872,354,6937,,2
YCL035C,GRX1,12380,110,7022,0,5.1
YCL036W,GFD2,64913,566,0,,1
YCL037C,SRO9,48060,434,24077,0.000891,3.5
YCL038C,ATG22,58843,528,0,,0.5
YCL039W,GID7,84516,745,1006,0.030137,1
YCL040W,GLK1,55377,500,9134,0.004881,9.7
YCL041C,,19050,164,0,,0.5
YCL042W,,13360,119,0,,0.5
YCL043C,PDI1,58227,522,3861,0.086643,7.5
YCL044C,MGR1,47156,417,2865,0.007001,0.8
YCL045C,,87181,760,4499,0.014441,2.1
YCL046W,,12049,107,0,,0.8
YCL047C,,29673,258,698,0.003301,0.8
YCL048W,SPS22,52007,463,0,,0.4
YCL048W-A,,7798,79,,,
YCL049C,,35651,312,551,0.036481,0.9
YCL050C,APA1,36492,321,33868,0.005682,5.6
YCL051W,LRE1,64791,583,0,,0.8
YCL052C,PBN1,47923,416,2597,0,1.2
YCL054W,SPB1,96484,841,675,0.000891,1.5
YCL055W,KAR4,38672,335,1487,0.040773,0.9
YCL056C,,16593,144,4406,0.018734,1.3
YCL057C-A,,10408,97,,,
YCL057W,PRD1,81933,712,4790,0.011002,1.8
YCL058C,FYV5,17139,152,0,,0.8
YCL058W-A,,12739,113,,,
YCL059C,KRR1,37159,316,4191,0.003629,1.6
YCL061C,MRC1,124325,1096,605,0.007073,0.6
YCL063W,VAC17,47843,423,750,0.02236,0.2
YCL064C,CHA1,39301,360,16848,0.009902,3.9
YCL065W,,14351,122,0,,1.8
YCL066W,HMLALPHA1,20413,175,0,,0.2
YCL067C,HMLALPHA2,24282,210,1671,0.000891,1.1
YCL068C,,30222,260,0,,0.1
YCL069W,VBA3,50225,458,2522,0.000891,0.1
YCL073C,,68920,615,0,,0.6
YCL076W,,28249,247,0,,0.3
YCR001W,,12514,104,0,,0.6
YCR002C,CDC10,37025,322,9278,0.000891,1.6
YCR003W,MRPL32,21437,183,1988,0.003081,0.8
YCR004C,YCP4,26350,247,9934,0.000891,2.1
YCR005C,CIT2,51413,460,1943,0.023105,2.6
YCR006C,,18291,157,0,,0.2
YCR007C,,27564,239,0,,0.2
YCR008W,SAT4,66665,603,861,0.057762,0.6
YCR009C,RVS161,30250,265,7787,0.013863,1.6
YCR010C,ADY2,30726,283,0,,0.6
YCR011C,ADP1,117230,1049,1076,0,0.6
YCR012W,PGK1,44738,416,678576,0.003483,46.2
YCR013C,,22779,215,0,,9.4
YCR014C,POL4,67527,582,0,,0.3
YCR015C,,36278,317,0,,0.4
YCR016W,,33593,290,1806,0.010193,1.4
YCR017C,CWH43,107882,953,815,0.001006,1
YCR018C,SRD1,25514,221,1761,0.346574,0.6
YCR018C-A,,9467,84,9374,0.000891,
YCR019W,MAK32,40783,363,0,,0.2
YCR020C,PET18,25223,215,164,0.010664,0.5
YCR020C-A,MAK31,9724,88,1802,0.000891,0.4
YCR020W-B,HTL1,9179,78,3367,0.023105,
YCR021C,HSP30,37044,332,3681,0.000891,5.1
YCR022C,,13176,114,0,,0.3
YCR023C,,69217,611,2556,,0.7
YCR024C,SLM5,56784,492,658,0.025672,0.3
YCR024C-A,PMP1,4501,40,93823,0.000891,3.5
YCR024C-B,,10612,88,,,
YCR025C,,16064,136,0,,0.5
YCR026C,NPP1,84733,742,2874,0.063013,0.8
YCR027C,RHB1,23338,209,1178,0.020387,0.3
YCR028C,FEN2,58256,512,2104,0.000891,0.8
YCR028C-A,RIM1,15386,135,4026,0.000891,2
YCR030C,SYP1,96137,870,3009,0,0.3
YCR031C,RPS14A,14537,137,91161,0,26.8
YCR032W,BPH1,250870,2167,2977,0.000891,0.4
YCR033W,SNT1,138396,1226,332,0.000891,0.8
YCR034W,FEN1,40002,347,10526,0,3
YCR035C,RRP43,44011,394,2811,0.007073,1.2
YCR036W,RBK1,36924,333,1732,0.011363,0.5
YCR037C,PHO87,102539,923,401,0.069315,1
YCR038C,BUD5,75045,642,1771,0.005682,0.1
YCR038W-A,,4826,41,39004,0.000891,
YCR039C,MATALPHA2,24282,210,4016,,1.2
YCR040W,MATALPHA1,20413,175,0,,0.3
YCR041W,,12886,110,0,,0.5
YCR042C,TAF2,161470,1407,970,0.005097,0.5
YCR043C,,14779,127,3871,0.025672,1.2
YCR044C,PER1,42541,357,2175,0,0.7
YCR045C,,55068,491,0,,0.7
YCR045W-A,,12711,116,,,
YCR046C,IMG1,19394,169,2759,0.002962,0.8
YCR047C,BUD23,30742,275,1867,0.015753,0.9
YCR047W-A,,7510,68,,,
YCR048W,ARE1,71613,610,1879,0.019254,0.5
YCR049C,,15993,148,0,,0.6
YCR050C,,11717,102,0,,0.4
YCR051W,,24694,222,1000,0.000891,1.7
YCR052W,RSC6,54165,483,1439,0.020387,0.3
YCR053W,THR4,57474,514,40847,0.004683,3.6
YCR054C,CTR86,65205,563,3886,0.007967,0.2
YCR057C,PWP2,103982,923,7389,0,0.6
YCR059C,YIH1,29017,258,2182,0.016504,0.7
YCR060W,TAH1,12511,111,1171,0.014748,1.3
YCR061W,,70921,631,1466,0.000891,0.4
YCR063W,BUD31,18447,157,1713,0.02666,0.2
YCR064C,,15776,136,0,,0.5
YCR065W,HCM1,63647,564,506,0.04621,0.5
YCR066W,RAD18,55230,487,173,0.031507,0.2
YCR067C,SED4,114078,1065,1033,0.01118,0.6
YCR068W,ATG15,58435,520,2571,0.057762,0.2
YCR069W,CPR4,35780,318,857,0.016906,0.8
YCR071C,IMG2,16380,146,1445,0.003648,0.7
YCR072C,RSA4,57025,515,0,,0.7
YCR073C,SSK22,152716,1331,48,0.000891,0.3
YCR073W-A,SOL2,34501,315,970,0.015403,0.3
YCR075C,ERS1,30116,260,0,,0.4
YCR075W-A,,8097,75,,,
YCR076C,,26756,250,301,0.000891,0.7
YCR077C,PAT1,88495,796,2181,0.04621,0.8
YCR079W,PTC6,49420,442,363,0.010345,0.7
YCR081C-A,,8982,78,,,
YCR081W,SRB8,166859,1427,1456,0.016906,0.2
YCR082W,AHC2,15117,128,824,0.033007,1.7
YCR083W,TRX3,14432,127,849,0.003961,1
YCR084C,TUP1,78307,713,4907,0.025672,2.3
YCR085W,,13503,117,0,,0.2
YCR086W,CSM1,21751,190,1615,0.000891,0.4
YCR087C-A,,17738,153,2021,0.005924,
YCR087W,,19825,171,0,,0.5
YCR088W,ABP1,65576,592,6677,0.038508,0.6
YCR089W,FIG2,166034,1609,0,,0.3
YCR090C,,20703,182,2664,0.086643,1.1
YCR091W,KIN82,81493,720,0,,0.1
YCR092C,MSH3,119752,1047,710,0.033007,0.3
YCR093W,CDC39,240277,2108,3985,0.013078,0.7
YCR094W,CDC50,44982,391,742,0.014748,0.4
YCR095C,,41647,362,2589,0.006665,0.4
YCR095W-A,,6297,52,,,
YCR096C,HMRA2,13882,119,0,,0.9
YCR097W,HMRA1,14803,126,0,,0.5
YCR097W-A,,10550,88,,,
YCR098C,GIT1,57321,518,0,,0.1
YCR099C,,17959,155,0,,0.2
YCR100C,,35257,316,0,,0.3
YCR101C,,21125,182,0,,0.2
YCR102C,,40121,368,0,,0.3
YCR102W-A,,7729,65,,,
YCR104W,PAU3,13187,124,0,,1.8
YCR105W,ADH7,39348,361,2411,0.000891,0.3
YCR106W,RDS1,95689,832,0,,0.2
YCR107W,AAD3,40911,363,2744,0.000891,0.2
YCR108C,,7266,63,,,
YDL001W,RMD1,49931,430,799,0.346574,0.4
YDL002C,NHP10,23857,203,1466,0.012836,0.9
YDL003W,MCD1,63290,566,1310,0.000891,0.6
YDL004W,ATP16,17020,160,0,,3.8
YDL005C,MED2,47717,431,9895,0.018241,0.6
YDL006W,PTC1,31549,281,1281,0,0.5
YDL007C-A,,9633,85,,,
YDL007W,RPT2,48828,437,0,,2.3
YDL008W,APC11,18865,165,996,0.063013,1.2
YDL009C,,12725,107,0,,0.7
YDL010W,,25783,231,1008,0.346574,0.7
YDL011C,,11616,107,0,,0.3
YDL012C,,12175,107,1321,0.002166,1.7
YDL013W,HEX3,71070,619,0,,0.2
YDL014W,NOP1,34465,327,22563,0.000891,6.5
YDL015C,TSC13,36768,310,15294,0.011748,2.3
YDL016C,,11371,100,5884,0.000891,1.7
YDL017W,CDC7,58320,507,1019,0.019804,0.2
YDL018C,ERP3,26511,225,3014,0,0.5
YDL019C,OSH2,145795,1283,1167,0.04621,0.7
YDL020C,RPN4,60152,531,2864,,0.8
YDL021W,GPM2,36073,311,1699,0.014748,0.2
YDL022C-A,,9721,82,,,
YDL022W,GPD1,42869,391,11525,0.002773,7.1
YDL023C,,11431,106,0,,0.4
YDL024C,DIA3,53076,468,0,,0.2
YDL025C,,69615,620,891,0.021661,0.2
YDL025W-A,,4068,34,,,
YDL026W,,11389,103,0,,1
YDL027C,,48312,420,378,0.031507,0.5
YDL028C,MPS1,86827,764,2763,,0.8
YDL029W,ARP2,44073,391,5589,0,2.4
YDL030W,PRP9,63029,530,3291,0.033007,0.8
YDL031W,DBP10,113157,995,0,,1
YDL032W,,11521,103,0,,1
YDL033C,SLM3,47049,417,1270,0.015753,0.4
YDL034W,,12919,114,0,,1
YDL035C,GPR1,110708,961,9614,0.02236,0.6
YDL036C,PUS9,53398,462,537,0.005373,0.7
YDL037C,BSC1,34796,328,0,,1.1
YDL038C,,58522,583,0,,1.3
YDL039C,PRM7,11692,115,0,,1.5
YDL040C,NAT1,98904,854,5217,0.010664,1.2
YDL041W,,11971,117,0,,0.4
YDL042C,SIR2,63261,562,1553,0.033007,0.7
YDL043C,PRP11,29921,266,2911,0.006418,0.5
YDL044C,MTF2,51192,440,1082,0.000891,0.5
YDL045C,FAD1,35546,306,1700,0.000579,0.5
YDL045W-A,MRP10,10690,95,217,0.000891,1.5
YDL046W,NPC2,19063,173,1660,0.115525,2.4
YDL047W,SIT4,35537,311,2717,0.020387,0.8
YDL048C,STP4,54366,490,523,0.346574,1.4
YDL049C,KNH1,29753,268,0,,0.4
YDL050C,,14094,123,0,,1
YDL051W,LHP1,32104,275,6514,0.000891,2.7
YDL052C,SLC1,33887,303,11983,0.005023,1.3
YDL053C,PBP4,19881,185,2213,0.015753,1.1
YDL054C,MCH1,53565,486,1988,0.000891,0.6
YDL055C,PSA1,39566,361,173770,0.000891,8.6
YDL056W,MBP1,93907,833,373,0.034657,0.6
YDL057W,,36686,328,1238,,0.4
YDL058W,USO1,206450,1790,2565,0.010502,0.6
YDL059C,RAD59,26630,238,393,0.030137,0.3
YDL060W,TSR1,90747,788,3170,0.025672,1.2
YDL061C,RPS29B,6728,56,18518,0,19.6
YDL062W,,15984,141,0,,2.4
YDL063C,,70164,620,1969,0.019804,0.8
YDL064W,UBC9,17911,157,4798,0.00806,1.6
YDL065C,PEX19,38706,342,3522,0.012378,0.9
YDL066W,IDP1,48190,428,13076,0.000891,1.8
YDL067C,COX9,6963,59,29821,0,3.1
YDL068W,,12164,109,0,,1.6
YDL069C,CBS1,26586,229,467,0.005776,0.5
YDL070W,BDF2,72512,638,2187,0.077016,1.1
YDL071C,,13602,124,0,,0.3
YDL072C,YET3,22902,203,5554,0.000891,4.1
YDL073W,,113890,984,0,,0.8
YDL074C,BRE1,80691,700,2811,0.011363,0.8
YDL075W,RPL31A,12953,113,172022,0,19.4
YDL076C,RXT3,33811,294,1692,0.000891,0.7
YDL077C,VAM6,122880,1049,268,0.000891,0.7
YDL078C,MDH3,37186,343,3116,0.01083,2
YDL079C,MRK1,57819,501,0,,0.4
YDL080C,THI3,68366,609,1802,0.021004,0.6
YDL081C,RPP1A,10908,106,331494,0.000891,25.5
YDL082W,RPL13A,22554,199,81540,0,17.3
YDL083C,RPS16B,15847,143,67861,0,20.3
YDL084W,SUB2,50309,446,43417,0.040773,2.8
YDL085C-A,,7949,68,1997,0.009495,
YDL085W,NDE2,61659,545,1695,0.014441,0.4
YDL086C-A,,16381,144,,,
YDL086W,,30837,273,0,,1.1
YDL087C,LUC7,30195,261,1903,0,0.4
YDL088C,ASM4,58793,528,2243,0.021661,0.7
YDL089W,,56886,484,753,0.025672,0.6
YDL090C,RAM1,48189,431,3285,0.010664,0.4
YDL091C,UBX3,52943,455,195,0.099021,0.4
YDL092W,SRP14,16430,146,5453,0,2
YDL093W,PMT5,84775,743,0,,0.7
YDL094C,,19693,169,0,,0.6
YDL095W,PMT1,92675,817,16972,0.004053,1.7
YDL096C,OPI6,11196,108,0,,1.2
YDL097C,RPN6,49773,434,11305,0.013591,1.4
YDL098C,SNU23,22679,194,829,0.019804,0.5
YDL099W,BUG1,38294,341,3510,0.011002,0.7
YDL100C,GET3,39353,354,7315,0.036481,2.8
YDL101C,DUN1,58632,513,2920,0.006796,0.3
YDL102W,CDC2,124590,1097,1489,0.000891,0.4
YDL103C,QRI1,53476,477,3568,0.011552,0.7
YDL104C,QRI7,45543,407,1180,0.005332,0.1
YDL105W,NSE4,46121,402,971,0.027726,0.3
YDL106C,PHO2,63390,559,4497,0.014441,0.2
YDL107W,MSS2,41476,351,619,0.000891,0.3
YDL108W,KIN28,35247,306,2022,0.002063,0.4
YDL109C,,72855,647,164,0.04621,0.3
YDL110C,TMA17,16771,150,2180,0.036481,0.6
YDL111C,RRP42,29055,265,4211,0,1.1
YDL112W,TRM3,165046,1436,723,0.038508,1
YDL113C,ATG20,72546,640,301,0.012603,0.5
YDL114W,,34294,308,768,0.000891,
YDL114W-A,,4317,37,,,
YDL115C,IWR1,40640,353,910,0.017329,0.6
YDL116W,NUP84,83634,726,5481,0.003014,0.6
YDL117W,CYK3,100620,885,480,0.016906,0.5
YDL118W,,14135,126,0,,0.2
YDL119C,,34203,307,1303,0.001616,0.5
YDL120W,YFH1,19490,174,1391,0,0.5
YDL121C,,16947,149,3949,0,1
YDL122W,UBP1,92768,809,5275,0.018241,1.5
YDL123W,SNA4,15673,140,4960,0.011002,0.5
YDL124W,,35560,312,4616,0.012603,3
YDL125C,HNT1,17679,158,6070,0.002596,11.3
YDL126C,CDC48,91995,835,38915,0.020387,3.9
YDL127W,PCL2,35207,308,4122,0.000891,0.3
YDL128W,VCX1,44646,411,4832,0.019804,2.4
YDL129W,,32916,291,378,0.000891,0.3
YDL130W,RPP1B,10667,106,49835,0.001755,50.6
YDL130W-A,STF1,10062,86,1764,0.000891,
YDL131W,LYS21,48594,440,13539,0.00154,2.8
YDL132W,CDC53,93943,815,858,0.011552,0.8
YDL133C-A,RPL41B,3337,25,42467,0,
YDL133W,,49580,437,1872,0.000891,0.5
YDL134C,PPH21,41938,369,3174,0.015403,0.7
YDL135C,RDI1,23138,202,2956,0,1.2
YDL136W,RPL35B,13909,120,25600,0,17.2
YDL137W,ARF2,20657,181,11538,0.006134,6.2
YDL138W,RGT2,83159,763,1837,0.231049,0.5
YDL139C,SCM3,25754,223,467,0.024755,0.3
YDL140C,RPO21,191610,1733,17375,0.031507,1.2
YDL141W,BPL1,76362,690,2291,0.030137,0.4
YDL142C,CRD1,32019,283,736,0.000891,0.5
YDL143W,CCT4,57603,528,4649,0.005545,1.3
YDL144C,,39782,356,6640,0.00478,1.4
YDL145C,COP1,135606,1201,14527,0.007534,1.3
YDL146W,LDB17,56549,491,276,0.231049,0.1
YDL147W,RPN5,51768,445,10026,0.007967,2.3
YDL148C,NOP14,94301,810,0,,1
YDL149W,ATG9,115402,997,780,0.346574,0.2
YDL150W,RPC53,46667,422,1654,0.02236,0.5
YDL151C,BUD30,20893,193,0,,0.5
YDL152W,,13681,121,630,0.000891,0.3
YDL153C,SAS10,70259,610,0,,2.9
YDL154W,MSH5,102208,901,0,,0.2
YDL155W,CLB3,49475,427,506,0.034657,0.5
YDL156W,,59155,522,3201,0.006134,0.2
YDL157C,,13563,118,632,0.018734,2.4
YDL158C,,11987,102,0,,0.9
YDL159C-B,,6408,58,,,
YDL159W,STE7,57708,515,808,0.049511,0.3
YDL159W-A,,5091,43,,,
YDL160C,DHH1,57544,506,21914,0.003938,0.7
YDL160C-A,,9050,80,,,
YDL161W,ENT1,52352,454,2501,0.017773,0.7
YDL162C,,13734,118,,,
YDL163W,,10751,100,0,,0.4
YDL164C,CDC9,84827,755,756,0.000891,0.5
YDL165W,CDC36,22362,191,1971,0,0.9
YDL166C,FAP7,22723,197,4863,0.000042,1.1
YDL167C,NRP1,79299,719,2515,0.034657,0.4
YDL168W,SFA1,41042,386,4138,0.014441,1.1
YDL169C,UGX2,25732,223,0,,0.2
YDL170W,UGA3,61223,528,1006,0.031507,0.3
YDL171C,GLT1,238100,2145,8542,0.011363,1.3
YDL172C,,17565,159,0,,0.7
YDL173W,,31886,295,1862,0.009627,1.3
YDL174C,DLD1,65292,587,9060,0.011363,1.2
YDL175C,AIR2,39343,344,1510,0.023105,0.3
YDL176W,,81464,708,285,0.231049,0.4
YDL177C,,19058,170,762,0.006301,0.4
YDL178W,DLD2,59268,530,6268,0.018241,1
YDL179W,PCL9,34798,304,736,0.000891,0.4
YDL180W,,62287,547,2899,0.000891,0.8
YDL181W,INH1,9870,85,1193,0.015753,1.6
YDL182W,LYS20,47098,428,17593,0.003727,10.9
YDL183C,,37047,320,0,,0.2
YDL184C,RPL41A,3337,25,71323,0,27.3
YDL185C-A,,9337,75,,,
YDL185W,TFP1,118636,1071,79216,0.006359,3.1
YDL186W,,32197,277,0,,0.3
YDL187C,,12806,109,0,,0.3
YDL188C,PPH22,43047,377,3455,0.011363,1.5
YDL189W,RBS1,51957,457,1181,0.027726,0.6
YDL190C,UFD2,109904,961,2306,0,1
YDL191W,RPL35A,13909,120,33099,0,24
YDL192W,ARF1,20529,181,59657,0,14.2
YDL193W,NUS1,42557,375,3358,0.000891,0.5
YDL194W,SNF3,96718,884,0,,0.1
YDL195W,SEC31,138702,1273,9436,0.02666,1.3
YDL196W,,12905,109,0,,0.8
YDL197C,ASF2,59347,525,1061,0.028881,0.4
YDL198C,GGC1,33215,300,0,,1.6
YDL199C,,77501,687,0,,0.3
YDL200C,MGT1,21499,188,0,,0.7
YDL201W,TRM8,33391,286,1946,0.000075,1.4
YDL202W,MRPL11,28515,249,3983,0,0.7
YDL203C,,69370,623,372,0.028881,0.3
YDL204W,RTN2,44359,393,670,0.003591,0.3
YDL205C,HEM3,36674,327,5449,0,0.2
YDL206W,,85982,762,702,0.000891,0.1
YDL207W,GLE1,62073,538,827,0.02236,0.4
YDL208W,NHP2,17122,156,9147,0.000891,7.4
YDL209C,CWC2,38430,339,2229,0.009242,0.3
YDL210W,UGA4,61872,571,0,,0.2
YDL211C,,40752,372,2820,0.000891,0.2
YDL212W,SHR3,23512,210,6169,0.007296,4.1
YDL213C,NOP6,25216,225,7382,0,2.1
YDL214C,PRR2,78938,699,0,,0.1
YDL215C,GDH2,124331,1092,2824,0.000891,0.8
YDL216C,RRI1,50811,440,327,,0.1
YDL217C,TIM22,21864,207,0,,0.4
YDL218W,,34449,317,0,,0.4
YDL219W,DTD1,16745,150,3874,0.001487,1.7
YDL220C,CDC13,104903,924,268,0.016504,0.4
YDL221W,,20261,183,3552,0.000891,0.5
YDL222C,FMP45,34135,309,276,0.009367,0.6
YDL223C,HBT1,113616,1046,3477,0.000891,0.5
YDL224C,WHI4,70690,649,1575,0.000891,0.5
YDL225W,SHS1,62629,551,4437,0.00912,0.5
YDL226C,GCS1,39296,352,4982,0.006359,1.4
YDL227C,HO,66089,586,2125,,0.6
YDL228C,,24162,213,513,,0.1
YDL229W,SSB1,66601,613,137106,0.004652,21.8
YDL230W,PTP1,38868,335,2258,0.063013,0.8
YDL231C,BRE4,129724,1125,774,0.000891,0.5
YDL232W,OST4,3985,36,12872,0.000891,4.3
YDL233W,,51320,458,849,0.015403,0.2
YDL234C,GYP7,87305,746,2062,0.009002,0.6
YDL235C,YPD1,19168,167,4654,0.006478,1
YDL236W,PHO13,34624,312,3275,0.000891,1.2
YDL237W,,44383,390,0,,0.9
YDL238C,GUD1,55203,489,235,0.00403,0.3
YDL239C,ADY3,91739,790,0,,0.7
YDL240C-A,,5643,45,,,
YDL240W,LRG1,116659,1017,1233,0.01118,0.9
YDL241W,,13494,123,1088,0.053319,1.3
YDL242W,,13255,117,,,
YDL243C,AAD4,36977,329,0,,0.3
YDL244W,THI13,38573,340,0,,0.4
YDL245C,HXT15,62931,567,0,,0.4
YDL246C,SOR2,38096,357,0,,0.7
YDL247W,MPH2,68189,609,0,,0.2
YDL247W-A,,2930,24,,,
YDL248W,COS7,45679,383,2242,0.000891,0.4
YDR001C,NTH1,85879,751,1467,0.023105,0.8
YDR002W,YRB1,22953,201,0,,7.1
YDR003W,RCR2,24211,210,1557,0.008887,0.5
YDR003W-A,,4842,40,,,
YDR004W,RAD57,52247,460,200,0.020387,0.2
YDR005C,MAF1,44732,395,1409,0.02236,0.5
YDR006C,SOK1,101081,901,2630,0.000891,0.8
YDR007W,TRP1,24144,224,1157,0.01333,1.1
YDR008C,,12837,116,0,,0.4
YDR009W,GAL3,58129,520,605,0.038508,0.4
YDR010C,,12694,110,0,,0.9
YDR011W,SNQ2,168765,1501,3019,0.000891,2.4
YDR012W,RPL4B,39062,362,83717,0,23
YDR013W,PSF1,24203,208,1734,0.010345,0.5
YDR014W,RAD61,74721,647,605,0.04621,0.4
YDR014W-A,HED1,18258,162,,,
YDR015C,,8892,79,,,
YDR016C,DAD1,10516,94,912,0.008664,0.7
YDR017C,KCS1,119549,1050,1519,0.036481,0.7
YDR018C,,45938,396,,,
YDR019C,GCV1,44469,400,5470,0.007296,1.1
YDR020C,,26595,232,2455,0.025672,0.4
YDR021W,FAL1,45213,399,1685,0.015068,0.5
YDR022C,CIS1,22191,196,408,0.004201,0.3
YDR023W,SES1,53309,462,45686,0.000891,4.3
YDR024W,FYV1,18662,161,1597,0.000891,0.5
YDR025W,RPS11A,17749,156,624,0,16
YDR026C,,66352,570,363,0.000891,0.4
YDR027C,VPS54,101519,889,1535,0.023902,0.5
YDR028C,REG1,112615,1014,2090,0.000891,0.8
YDR029W,,12310,104,0,,0.9
YDR030C,RAD28,58230,506,0,,0.7
YDR031W,MIC14,13866,121,3307,0.000891,1
YDR032C,PST2,20966,198,2800,0.017329,3.6
YDR033W,MRH1,36190,320,97919,0.003332,16.2
YDR034C,LYS14,89396,790,378,0.014441,0.7
YDR034C-A,,6508,58,,,
YDR034W-B,,5966,51,1096,0,
YDR035W,ARO3,41070,370,7218,0.011363,2.6
YDR036C,EHD3,56288,500,3058,0.010345,0.6
YDR037W,KRS1,67958,591,30249,0.000891,4.1
YDR038C,ENA5,120295,1091,509,0.01612,1
YDR039C,ENA2,120316,1091,549,0.002407,1.6
YDR040C,ENA1,120356,1091,645,0,1.1
YDR041W,RSM10,23424,203,7120,0.000891,1.2
YDR042C,,23249,200,0,,0.1
YDR043C,NRG1,26743,231,467,0.069315,0.3
YDR044W,HEM13,37711,328,11171,0.000891,1.4
YDR045C,RPC11,12513,110,0,,2.2
YDR046C,BAP3,67364,604,11422,0.025672,1
YDR047W,HEM12,41349,362,4745,0.00082,0.9
YDR048C,,12316,104,0,,0.6
YDR049W,,72733,632,1592,0.018734,0.4
YDR050C,TPI1,26795,248,283615,0.00722,38.3
YDR051C,,39172,334,1833,0.015068,0.8
YDR052C,DBF4,80689,704,3951,0.057762,0.4
YDR053W,,14751,131,0,,0.6
YDR054C,CDC34,34064,295,5196,0.000891,0.6
YDR055W,PST1,45776,444,6045,0.034657,3.2
YDR056C,,22769,205,2709,0.005458,1.2
YDR057W,YOS9,61257,542,0,,0.4
YDR058C,TGL2,37500,326,0,,0.4
YDR059C,UBC5,16280,148,715,0.009002,0.6
YDR060W,MAK21,116675,1025,9000,0.00673,0.8
YDR061W,,61191,539,1157,0.018734,0.5
YDR062W,LCB2,63110,561,24987,0.023902,2.1
YDR063W,,17130,149,1919,0,1.4
YDR064W,RPS13,17029,151,145306,0,18.6
YDR065W,,42829,365,1402,0.02236,0.4
YDR066C,,22541,196,886,0.006134,0.3
YDR067C,,26024,224,2151,,0.6
YDR068W,DOS2,35964,310,2507,0.006931,0.7
YDR069C,DOA4,105191,926,6140,0.010046,0.3
YDR070C,,10845,93,1020,0.01612,0.9
YDR071C,PAA1,21947,191,13607,0.014748,2.6
YDR072C,IPT1,60873,527,509,0.030137,1.3
YDR073W,SNF11,18667,169,861,0.023105,0.6
YDR074W,TPS2,102976,896,13948,0.000891,0.9
YDR075W,PPH3,35264,308,1478,0.011363,0.5
YDR076W,RAD55,46349,406,1670,0.049511,0.3
YDR077W,SED1,34431,338,21972,0.000891,14.7
YDR078C,SHU2,26122,223,0,,0.6
YDR079C-A,TFB5,8232,72,,,
YDR079W,PET100,13187,111,393,0.04621,0.7
YDR080W,VPS41,113411,992,982,0.00559,0.7
YDR081C,PDC2,103943,925,480,0.008155,0.4
YDR082W,STN1,57510,494,0,,0.3
YDR083W,RRP8,45985,392,1822,0.008557,1.1
YDR084C,TVP23,23148,199,931,0.000891,1.3
YDR085C,AFR1,71363,620,0,,0.4
YDR086C,SSS1,8944,80,5443,0.004748,5.2
YDR087C,RRP1,33202,278,4468,0.013591,1.1
YDR088C,SLU7,44636,382,2984,0.008774,0.3
YDR089W,,98711,869,248,0.231049,0.5
YDR090C,,34630,310,2022,0.007967,0.5
YDR091C,RLI1,68340,608,8764,0.018241,1.2
YDR092W,UBC13,17468,153,6034,0,1.4
YDR093W,DNF2,182617,1612,2161,0.036481,0.4
YDR094W,,12867,111,0,,0.6
YDR095C,,15188,136,0,,0.4
YDR096W,GIS1,99480,894,363,0.024755,0.3
YDR097C,MSH6,140079,1242,2310,0.02236,0.5
YDR098C,GRX3,32481,285,7400,0.003067,1.1
YDR099W,BMH2,31061,273,102945,0,3.1
YDR100W,TVP15,15881,143,3090,0.00912,1.5
YDR101C,ARX1,65212,593,19540,0.00722,1.3
YDR102C,,12700,110,0,,0.6
YDR103W,STE5,102726,917,1601,0.138629,0.3
YDR104C,SPO71,145180,1245,0,,0.2
YDR105C,TMS1,52230,473,1777,0.000891,0.7
